"","id","scene_description"
"118",153,"[He brings out his club and holds it proudly.]"
"119",153,"[He clutches his fist to emphasize the word ""men"" as he stares down the people in front of him.]"
"120",155,"[Waving his hand in the air.]"
"121",156,"[Angrily.]"
"122",156,"[He makes some wide arm gestures to emphasize his words again.]"
"123",158,"[Sighs.]"
"124",160,"[Runs up to Sokka as the children leave. In a worried tone.]"
"125",162,"[Amused.]"
"126",164,"[Annoyed.]"
"127",164,"[Angrily points at Aang.]"
"128",168,"[Yelling angrily.]"
"129",168,"[The laughter of the children is stifled immediately and Appa turns his head to look at Sokka, who accusingly directs his anger to Aang.]"
"130",170,"[Slides down from Appa's head.]"
"131",171,"[Raises one eyebrow in disbelief.]"
"132",173,"[Exclaims enthusiastically.]"
"133",178,"[Chasing the penguins while laughing.]"
"134",178,"[He jumps at a penguin, but the animal evades his attempt and Aang belly flops into the snow. He turns on his back and quickly erects himself with his airbending as Katara comes up beside him.]"
"135",180,"[Amused.]"
"136",181,"[Having grabbed the tail of a penguin, he holds on as it pulls him through the snow for a short way before letting go and looking up at Katara.]"
"137",181,"[He airbends himself into a sitting position.]"
"138",182,"[Sadly.]"
"139",183,"[He thinks for a moment.]"
"140",185,"[He happily points at himself.]"
"141",186,"[Unsure.]"
"142",188,"[Mockingly imitating a teacher.]"
"143",188,"[Inclines her head toward Aang.]"
"144",188,"[She conjures a fish out of her sleeve.]"
"145",192,"[Happily.]"
"146",195,"[In awe.]"
"147",196,"[On a slightly dark tone.]"
"148",196,"[Aang begins to approach the wreckage.]"
"149",199,"[Her voice echoes through the room.]"
"150",199,"[The camera shifts through the room, revealing all the weapons more closely.]"
"151",200,"[Aang picks up a Guan Dao to inspect it.]"
"152",202,"[Uncertain.]"
"153",204,"[In full disbelief and slightly accusing.]"
"154",205,"[Aang's expression changes to one of comprehension.]"
"155",207,"[Saddened by his new discovery.]"
"156",208,"[Squats beside him.]"
"157",209,"[Cheerfully.]"
"158",210,"[Smiling warmly at him while offering her hand.]"
"159",218,"[Aang notices a hole in the roof of the ship and takes a surprised Katara into his arms.]"
"160",221,"[Aang and Katara reach the ground again and Aang sets Katara down. They start to walk away.]"
"161",221,"[He turns and angrily yells to a soldier behind him.]"
"162",221,"[Zuko peeks through his telescope again to see that Katara and Aang are running now. Zuko follows the direction they are running in with his telescope and discovers that they must be headed for the village he spots.]"
"163",226,"[Joyfully.]"
"164",228,"[Angrily.]"
"165",228,"[Accusingly points a finger at Aang as he and Katara draw closer.]"
"166",229,"[Protesting.]"
"167",230,"[Sheepishly, as Katara glares at Sokka.]"
"168",230,"[Awkwardly rubs his head.]"
"169",231,"[Worriedly.]"
"170",232,"[Sorrowfully.]"
"171",233,"[Angry and triumphant, having found an excuse.]"
"172",233,"[The children begin to sadly walk away.]"
"173",234,"[Irritably, clenching her fists.]"
"174",235,"[Stubbornly persisting in his anger.]"
"175",235,"[Pointing to Aang.]"
"176",236,"[Angrily.]"
"177",236,"[Continues in a calm, soothing voice.]"
"178",237,"[Annoyed.]"
"179",238,"[Optimistically.]"
"180",239,"[Angrily.]"
"181",240,"[Pleading.]"
"182",241,"[Gravely.]"
"183",242,"[Outraged.]"
"184",242,"[Drags Aang away.]"
"185",243,"[Demanding.]"
"186",244,"[Angrily.]"
"187",245,"[Confusedly.]"
"188",245,"[Brightening.]"
"189",246,"[Shows shot of the entire Southern Water Tribe.]"
"190",248,"[Understanding.]"
"191",249,"[Upset.]"
"192",249,"[In a quieter tone.]"
"193",251,"[Still in that quiet tone.]"
"194",252,"[He places one hand on Appa, but is suddenly struck with realization.]"
"195",252,"[He uses his airbending to hop onto Appa's head.]"
"196",253,"[Sarcastically, with arms crossed.]"
"197",254,"[Encouragingly.]"
"198",256,"[Mockingly.]"
"199",257,"[Runs from crowd to stand next to Katara with tears in her eyes.]"
"200",257,"[Close-up.]"
"201",258,"[Sadly.]"
"202",258,"[Looks at Katara, who frowns back at him, her eyes saddened while her hair loopies sway in the wind.]"
"203",260,"[Consoling tone.]"
"204",260,"[Katara quickly turns around and cuts her off.]"
"205",261,"[Rounding on Kanna and interrupting her, her voice full of empassioned rage.]"
"206",261,"[Gestures in the direction Aang took off.]"
"207",264,"[Stopping and dancing around.]"
"208",265,"[Authoritatively, a twinge of annoyance in his voice; he points onward, ushering the boy in that direction.]"
"209",267,"[Sorrowfully.]"
"210",267,"[Catches sight of Fire Nation ship advancing toward the Southern Water Tribe; gasps.]"
"211",267,"[He slides off the ice formation onto the ground.]"
"212",269,"[Disappointed at the tower's collapse.]"
"213",271,"[Horrified.]"
"214",273,"[Hysterically.]"
"215",275,"[Angrily.]"
"216",277,"[Shaking Kanna; annoyed.]"
"217",279,"[Angrily.]"
"218",283,"[Cheerfully, despite the present situation.]"
"219",284,"[Moodily.]"
"220",287,"[Shocked.]"
"221",289,"[Surprised.]"
"222",290,"[Bewildered.]"
"223",292,"[Angrily.]"
"224",293,"[Calmly, tilting his head to one side with a somewhat confused expression.]"
"225",295,"[He holds his staff in front of him as an offer, making sure Zuko understands that he does not wish to continue fighting.]"
"226",297,"[Sadly.]"
"227",298,"[Surprisingly calm.]"
"228",298,"[He gasps when he is shoved on the walkway. Katara's face contorts with sadness and fright.]"
"229",299,"[Boarding the ship up the walkway. Determined.]"
"230",301,"[Sokka is seen in the background, carrying a pack as she speaks on a determined tone.]"
"231",303,"[Making arm gestures to emphasize her words while she speaks in an objective tone.]"
"232",303,"[Cuts to shot of her and her brother, her back to the screen.]"
"233",304,"[Cutting her off.]"
"234",304,"[Slightly annoyed.]"
"235",306,"[Running over to her brother.]"
"236",306,"[She gives him a hug.]"
"237",307,"[Inviting.]"
"238",308,"[Annoyed.]"
"239",309,"[Shrugging, nonchalant.]"
"240",310,"[Accusingly.]"
"241",312,"[Smiling warmly.]"
"242",312,"[Kanna holds up their sleeping bags.]"
"243",312,"[The siblings glance at each other in surprise. Kanna walks over to face Katara.]"
"244",312,"[Hugs Katara and who at the end takes the sleeping back out of her hands; to Sokka.]"
"245",313,"[Kanna hugs Sokka, who, slightly embarrassed, pats her back.]"
"246",313,"[He smiles broadly when she releases him.]"
"247",316,"[Pointing at the ready canoe.]"
"248",318,"[Brightly.]"
"249",318,"[Begins running toward the bison.]"
"250",319,"[Annoyed.]"
"251",321,"[Inspects the staff further.]"
"252",321,"[To his soldiers.]"
"253",321,"[Handing the staff to Iroh.]"
"254",323,"[Turns to one of Zuko's men and gives him the staff; casually.]"
"255",325,"[Slyly.]"
"256",326,"[Unamused.]"
"257",330,"[Unamused.]"
"258",330,"[Katara glances annoyed at her brother.]"
"259",331,"[Pleading as Appa growls again.]"
"260",332,"[Blandly.]"
"261",333,"[Strokes Appa.]"
"262",333,"[Appa grunts.]"
"263",336,"[Thrilled.]"
"264",337,"[Ecstatically looking over the rim of the saddle.]"
"265",339,"[Sheepishly.]"
"266",339,"[Brightens quickly.]"
"267",343,"[Off camera.]"
"268",345,"[Whispering.]"
"269",351,"[Shocked.]"
"270",353,"[Ecstatic.]"
"271",355,"[Horrified.]"
"272",357,"[Voice-over.]"
"273",359,"[Shocked.]"
"274",360,"[Impressed.]"
"275",362,"[Worried.]"
"276",364,"[Weakly.]"
"277",366,"[Weakly.]"
"278",367,"[Rising.]"
"279",369,"[Triumphantly.]"
"280",371,"[Complaining.]"
"281",373,"[Urgently.]"
"282",374,"[Muttering to himself, as he uses his boomerang to chip the ice.]"
"283",374,"[He frees his left foot.]"
"284",374,"[He manages to break free and races up Appa's tail.]"
"285",376,"[Rubbing eyes and staring up at Appa in surprise.]"
"286",378,"[Angrily.]"
"287",380,"[Calmly.]"
"288",382,"[Holding back rage.]"
"289",382,"[Cuts to a shot of the damaged ship, the whole front covered in ice and snow.]"
"290",382,"[Yells his order to the soldiers and points at the piles of snow.]"
"291",384,"[Slightly embarrassed.]"
"292",386,"[Bewildered.]"
"293",387,"[Quietly, slightly downcast, sitting on the edge of the saddle.]"
"294",388,"[Curious, but serious.]"
"295",389,"[Turns away slightly; saddened.]"
"296",392,"[Downcast.]"
"297",394,"[Looking at Katara.]"
"298",395,"[Brightening a bit.]"
"299",396,"[Turning to face her, smiling and brightening up completely.]"
"300",397,"[Faces her brother; cheerfully.]"
"301",398,"[Content.]"
"302",399,"[Optimistically.]"
"303",400,"[Cheerfully, pulling out a rolled up scroll.]"
"304",400,"[He uses airbending to situate himself onto the saddle and unrolls the scroll, revealing a map of the Avatar World.]"
"305",402,"[Curiously.]"
"306",402,"[Points to one of the locations.]"
"307",403,"[Points to the location in Earth Kingdom.]"
"308",403,"[Points to the location in Air Nomad territory.]"
"309",403,"[Katara and Sokka stare at him in wonder.]"
"310",403,"[The siblings glance at each other.]"
"311",407,"[Excitedly.]"
"312",408,"[Cautiously.]"
"313",408,"[She turns around to face him.]"
"314",409,"[Smiling broadly.]"
"315",410,"[Cautiously.]"
"316",411,"[Happily.]"
"317",413,"[Cheerfully.]"
"318",413,"[Sokka awakens, making groggy noises.]"
"319",414,"[Grunting sleepily.]"
"320",416,"[Alarmed.]"
"321",416,"[Aang moves the stick up and down the sleeping bag, only touching Sokka with the tip of it.]"
"322",417,"[He lazily opens one eye before yelling out in horror.]"
"323",417,"[He quickly rises and hops around, still inside the sleeping bag.]"
"324",417,"[After two hops, Sokka slams flat to the ground.]"
"325",419,"[Happily.]"
"326",422,"[Disinterested.]"
"327",423,"[Turns around sharply to face Iroh, as he slightly backs off.]"
"328",423,"[Makes some wide arm movements.]"
"329",424,"[Iroh and Zuko turn, with shocked expressions on their face, toward the camera in the direction the sound came from.]"
"330",424,"[Close-up of a man with big sideburns dressed in a Fire Nation uniform.]"
"331",426,"[With dislike in his voice.]"
"332",427,"[Smirks.]"
"333",427,"[Bows slightly in Iroh's direction.]"
"334",428,"[Bows back.]"
"335",433,"[He holds up one finger, while Iroh stares disinterested in front of him.]"
"336",433,"[He glances at his uncle, and angrily commands him as he gestures at Zhao.]"
"337",434,"[Iroh's eyes open wide in surprise, as he is addressed by Zuko.]"
"338",434,"[He happily holds his hand up and relates enthusiastically.]"
"339",434,"[To Zuko, from the corner of his mouth in a confused tone.]"
"340",435,"[Looks at his uncle uncomfortably.]"
"341",436,"[In disbelief.]"
"342",436,"[Smirks while he gets into Zuko's face.]"
"343",437,"[He averts his gaze and begins to walk away.]"
"344",439,"[Removes his hand from Zuko's shoulder as he faces Zhao while Zuko just slants his eyes.]"
"345",441,"[Annoyed.]"
"346",443,"[Accusingly to the two in front of him.]"
"347",444,"[Surprised.]"
"348",444,"[Happily.]"
"349",444,"[The hint of a smile can be heard.]"
"350",445,"[Shocked.]"
"351",445,"[Looks up before slanting his eyes and groans. Longing.]"
"352",447,"[Excitedly.]"
"353",448,"[Uneasily.]"
"354",449,"[Cheerfully.]"
"355",450,"[Close-up of Katara.]"
"356",450,"[Sadly.]"
"357",451,"[Ponders over her words for a bit. Hopefully.]"
"358",452,"[Places one hand on Aang's shoulder.]"
"359",453,"[Cheerfully, as Katara moves her hand back to her side.]"
"360",453,"[Caresses Appa's head.]"
"361",457,"[Voice-over.]"
"362",460,"[To Appa.]"
"363",460,"[His eyes squint a bit in happiness.]"
"364",462,"[Shift to a bird view of the tent, revealing Zuko, sitting at a table, and Iroh, standing in the corner, looking at some weapons that are placed against the wall. Zhao turns around.]"
"365",463,"[Close-up. Angrily.]"
"366",464,"[Pulls up alongside Zuko and smirks.]"
"367",468,"[Aggressively.]"
"368",469,"[Close-up of Zuko, as he slants his eyes.]"
"369",469,"[Close-up of Zhao, whose face contorts in an evil expression.]"
"370",470,"[Faces Zhao and responds very clearly.]"
"371",470,"[Stares back in front of him.]"
"372",471,"[With an expression of disbelief on his face, as he rises from his chair.]"
"373",471,"[Leans in and faces Zuko.]"
"374",472,"[Looks up at Zhao and his tone becomes slightly more aggressive.]"
"375",472,"[Close-up, as he continues on a softer tone, slightly mockingly.]"
"376",472,"[Gets up.]"
"377",474,"[Close-up of Zuko's head from behind.]"
"378",475,"[Smiling evilly.]"
"379",475,"[Close-up of Zuko's face, as Zhao walks up to him and leans over to talk into Zuko's ear. Zuko slants his eyes.]"
"380",479,"[Irritated.]"
"381",483,"[Excited.]"
"382",483,"[The camera shifts to a shot of a stadium consisting of many tall poles.]"
"383",483,"[The camera pans to the right to reveal the trio again.]"
"384",483,"[Aang sighs.]"
"385",486,"[A bit saddened.]"
"386",486,"[His eyes squint with sadness. The shot changes to a back view of Aang as he stands on the ledge; his clothes flutter in the wind, a dead tree at each side of him. In a sad tone.]"
"387",488,"[Cheerfully trying to distract Aang from his sadness.]"
"388",490,"[Smiling broadly, he stretches out his arms above his head.]"
"389",490,"[He forms a Zero with his hands and makes a circular movement with his whole body.]"
"390",492,"[Painfully.]"
"391",492,"[He erects himself, but before he gets up completely, his eyes widen when he sees something in front of him and he crawls to the front. The camera shifts to reveal an old Fire Nation helmet lying in the snow. It has been battered by the elements, and shows signs of cracks and burns. He looks up at his sister.]"
"392",495,"[Yelling.]"
"393",496,"[Aang runs to them from the airball court, still playing with the hollow ball. Cheerfully.]"
"394",498,"[Happily runs up.]"
"395",500,"[Innocently holds her hands behind her back.]"
"396",501,"[Excited as he turns around and start walking away.]"
"397",502,"[Brushes the last of the snow from his head and shoulders.]"
"398",504,"[Arms crossed; stern.]"
"399",507,"[Happily.]"
"400",507,"[The two look up and see Aang standing in front of a statue of a monk, turning around and pointing toward it.]"
"401",510,"[Facing the statue again.]"
"402",510,"[Scene switches to a frontal view of the statue as Aang turns around again toward the siblings while gesturing at the statue.]"
"403",514,"[Distant.]"
"404",516,"[With a calm, soothing and understanding voice.]"
"405",517,"[Downcast.]"
"406",520,"[Voice-over.]"
"407",521,"[Cut back to a close shot of Gyatso with Aang sitting on the ledge in the background.]"
"408",523,"[Excited and curious.]"
"409",524,"[Cut back to the close shot of Gyatso with Aang in the background.]"
"410",524,"[In the background, Aang, annoyed by this vague answer, grunts softly and looks up to the sky before cupping his face in his hands again. Monk Gyatso continues on a bright, happy tone.]"
"411",524,"[Close-up of Aang as he smiles lovingly at Gyatso.]"
"412",525,"[Happily stands up.]"
"413",527,"[The camera switches to a side-view as the duo conjures a small air ball.]"
"414",529,"[Full admiration and love.]"
"415",529,"[Caressing Aang's head.]"
"416",531,"[Understandingly places a hand on his shoulder.]"
"417",532,"[Downcast.]"
"418",532,"[He walks away.]"
"419",533,"[Curious.]"
"420",534,"[Switch to a shot from Katara's point of view. Aang is walking up some stairs that lead to a corridor behind the statue. He looks back while answering.]"
"421",537,"[Camera changes to show the trio looking up at the door. Hopeful.]"
"422",537,"[Opening his arms.]"
"423",538,"[Touching her chin with a finger.]"
"424",539,"[Close shot of Aang with Katara visible over his shoulder. He glances hopeful at her over his shoulder. Excited.]"
"425",540,"[Appears in screen from behind Aang's back. Katara and Aang look surprised at him. Eagerly.]"
"426",540,"[Katara's look changes to one of annoyance. Close-up of Sokka's determined, anticipating face.]"
"427",540,"[He rubs his hands together and practically starts to drool over the thought.]"
