"","id","scene_description"
"2009",3199,"[Off-camera.]"
"2010",3203,"[Looks up toward the rim of the mountain.]"
"2011",3204,"[Irritated.]"
"2012",3205,"[Cuts to shot of Aang perched on one boulder, Sokka appearing on-screen.]"
"2013",3205,"[Leaps upward and points in delight at the rim.]"
"2014",3207,"[Shocked.]"
"2015",3207,"[Cuts to overhead shot of the volcano.]"
"2016",3210,"[Whips out his glider.]"
"2017",3210,"[He pulls Sokka forward, who shouts in surprise and the two take off.]"
"2018",3212,"[Shyly, raises hand slightly.]"
"2019",3213,"[Annoyed.]"
"2020",3217,"[Slightly irked, raises finger accusingly.]"
"2021",3219,"[Worriedly.]"
"2022",3221,"[Urgently.]"
"2023",3222,"[Not buying his claim.]"
"2024",3223,"[Stepping forward.]"
"2025",3224,"[Unmoved.]"
"2026",3225,"[Leaps onto the awning of a nearby building; urgently.]"
"2027",3225,"[Cuts to shot of villagers who gaze up at him, seemingly listening.]"
"2028",3227,"[Points to the volcano.]"
"2029",3229,"[Amused.]"
"2030",3230,"[Turns to him; yells angrily.]"
"2031",3232,"[Dismayed.]"
"2032",3232,"[Aang leaps down from the awning.]"
"2033",3233,"[Brightening.]"
"2034",3237,"[Whispering.]"
"2035",3240,"[Sadly.]"
"2036",3240,"[Her ears droop down.]"
"2037",3242,"[Downcast.]"
"2038",3245,"[Casting sad glance to the side.]"
"2039",3246,"[Off-camera.]"
"2040",3247,"[Blushes and looks at her, surprised.]"
"2041",3248,"[Cuts to shot of the two standing in the room.]"
"2042",3248,"[Clasps hands together, counts on her fingers.]"
"2043",3248,"[Cuts to shot of Meng.]"
"2044",3248,"[While saying this last part, she tries to smooth down her braids only for them to immediately stick up again.]"
"2045",3249,"[Places a hand on her shoulder comfortingly; turns to leave.]"
"2046",3250,"[Holds up hand in alert.]"
"2047",3250,"[Aang looks surprised; Meng hands him the cloud reading book, revealing she had had it in her possession the whole time.]"
"2048",3252,"[Nervously playing with her fingers.]"
"2049",3252,"[Smiles sheepishly.]"
"2050",3253,"[Blushing.]"
"2051",3256,"[Reading Aunt Wu's book.]"
"2052",3259,"[Quizzically.]"
"2053",3259,"[A shadow falls over her face as the sky darkens; suddenly terrified.]"
"2054",3261,"[Gesturing toward Sokka, who stands on the pagoda.]"
"2055",3262,"[Making motions with his arm.]"
"2056",3265,"[Raising hand.]"
"2057",3266,"[Raising hand.]"
"2058",3267,"[As another explosion resonates over the village, everyone stumbles before regaining balance.]"
"2059",3269,"[Resuming work.]"
"2060",3275,"[Katara's expression changes at this, remembering Aunt Wu's words about her future marriage.]"
"2061",3277,"[Casually.]"
"2062",3279,"[Slowly widens her eyes in realization; as if having an epiphany.]"
"2063",3281,"[Sheepishly.]"
"2064",3284,"[Laughs in amusement.]"
"2065",3286,"[Cheerfully.]"
"2066",3287,"[Gets near the Calm man's face, through gritted teeth.]"
"2067",3288,"[Holding Sokka by the shoulders and leading him away.]"
"2068",3292,"[Disappointed.]"
"2069",3293,"[Gestures to the sky.]"
"2070",3293,"[Cuts to shot of Aang, who smiles; off-camera.]"
"2071",3295,"[Brightly.]"
"2072",3295,"[To Meng.]"
"2073",3296,"[Waving.]"
"2074",3296,"[Appa turns away. Cuts to Meng's face, whose smile disappears and is replaced by a frown.]"
"2075",3299,"[Examines the sword.]"
"2076",3303,"[Turns to Aang, his expression serious.]"
"2077",3305,"[Curiously.]"
"2078",3306,"[Rummaging through the bushes; somewhat cheerfully.]"
"2079",3308,"[Cut to shot of a tree trunk, scorch marks and sharp cuts running across its bark. Cut to shot of Sokka and the others.]"
"2080",3308,"[He turns away from the tree and looking down the slope of the hill seeing a black spot on the ground.]"
"2081",3310,"[Intrigued.]"
"2082",3311,"[Disappointed.]"
"2083",3312,"[Pointing at something in the distance.]"
"2084",3312,"[Cut to shot of a Water Tribe ship, half obscured behind large rocks, sitting idly on the shore.]"
"2085",3313,"[Happily.]"
"2086",3314,"[She and Sokka run toward it. Cut to shot of entire ship as they approach.]"
"2087",3315,"[Strokes the boat off, while Aang appears behind them.]"
"2088",3315,"[Turns to Katara.]"
"2089",3317,"[Exhaling.]"
"2090",3317,"[Cuts to shot of entire room where he and Zuko are seated at a low-lying table.]"
"2091",3317,"[Pours Zuko a cup of tea.]"
"2092",3320,"[Holding a rolled up whip.]"
"2093",3320,"[Cut to overhead shot of the ship's deck.]"
"2094",3321,"[Arrives with Iroh.]"
"2095",3323,"[Shocked.]"
"2096",3324,"[Lifts the man and slings him over her shoulder.]"
"2097",3324,"[Walks to Nyla.]"
"2098",3326,"[Prepares to mount Nyla, the stowaway already slung onto his back.]"
"2099",3326,"[Mounts her shirshu.]"
"2100",3327,"[June cracks her whip. Cuts to shot of the shirshu bolting off the ship and racing down the dock.]"
"2101",3327,"[Leaning over the ledge of the ship with Zuko, stroking his beard thoughtfully; Zuko look at him, disgusted.]"
"2102",3332,"[Desperately.]"
"2103",3333,"[Lays a hand on his son's shoulder; grimly and sadly.]"
"2104",3334,"[His eyes glisten.]"
"2105",3335,"[Sokka throws aside his bag and throws himself into his father's arms. Cut to close-up of him as he sobs and buries his face in his father's parka.]"
"2106",3337,"[Alert.]"
"2107",3337,"[Stands up, boomerang in hand.]"
"2108",3340,"[Quizzically, raising an eyebrow.]"
"2109",3340,"[Spirited.]"
"2110",3341,"[Having awoken, along with Katara.]"
"2111",3342,"[Cheerfully.]"
"2112",3343,"[Cuts to side-shot of Bato, Sokka running over to him, followed closely by Katara.]"
"2113",3343,"[Hugs Katara and Sokka.]"
"2114",3343,"[Aang follows them, but remains standing a few feet away.]"
"2115",3344,"[Bows in greeting.]"
"2116",3347,"[Both siblings look crestfallen at this news. A gust of wind blows, causing them to shiver. Cut to a shot of Bato who shivers as well.]"
"2117",3349,"[A woman turns around.]"
"2118",3351,"[Sokka abruptly cuts him off.]"
"2119",3353,"[Sniffs.]"
"2120",3354,"[Pointing his thumbs at Appa.]"
"2121",3354,"[Waves his hand in front of his face.]"
"2122",3354,"[Everyone is silent, a single person coughs.]"
"2123",3357,"[Bato, Katara, Sokka, and Aang file inside.]"
"2124",3359,"[Sarcastically.]"
"2125",3361,"[Surprised and delighted.]"
"2126",3366,"[Momo, sitting by Aang, starts to eat the stewed sea prunes that Aang set aside, but ends up spitting it out.]"
"2127",3367,"[Sokka and Katara are slurping their stewed sea prunes as Aang speaks.]"
"2128",3368,"[Cutting Aang off.]"
"2129",3369,"[Chuckles to himself.]"
"2130",3371,"[Curiously.]"
"2131",3372,"[Waving Aang off.]"
"2132",3373,"[To Bato.]"
"2133",3374,"[Chuckling.]"
"2134",3374,"[Aang is shown wearing a fur pelt on his head.]"
"2135",3374,"[Aang puts the pelt back on the wall, and sits in the back of the room.]"
"2136",3376,"[Lowers his voice.]"
"2137",3378,"[Annoyed.]"
"2138",3378,"[Pushing a man out of the way.]"
"2139",3379,"[Apologetically.]"
"2140",3385,"[As she collects her winnings.]"
"2141",3385,"[To the crowd.]"
"2142",3385,"[The crowd cheers.]"
"2143",3389,"[Cut to Katara's necklace.]"
"2144",3391,"[Sarcastically.]"
"2145",3393,"[Unamused.]"
"2146",3395,"[Scoffs.]"
"2147",3395,"[She starts to climb her saddle.]"
"2148",3397,"[Stops and widens her eyes in surprise. She smiles. Cut to a side-shot of June walking over to Iroh.]"
"2149",3397,"[Pokes his stomach.]"
"2150",3398,"[Laughs with his hand on his stomach.]"
"2151",3399,"[As she turns back to Nyla.]"
"2152",3401,"[Aang is shown with his eyes closed, excluded from the group.]"
"2153",3402,"[Excited.]"
"2154",3403,"[Slightly demanding.]"
"2155",3407,"[Aang gets up to leave, but no one notices him.]"
"2156",3408,"[As Aang leaves.]"
"2157",3418,"[Hands Aang the scroll and rides away.]"
"2158",3423,"[Turns to face him.]"
"2159",3424,"[Sitting down.]"
"2160",3428,"[To Miyuki.]"
"2161",3428,"[Miyuki meows.]"
"2162",3431,"[Picks up the crumpled paper as Aang looks at her nervously.]"
"2163",3432,"[Takes back the crumpled paper.]"
"2164",3432,"[Bows. As Mother Superior walks away, Aang stuffs the map back up his sleeve.]"
"2165",3436,"[To Bato.]"
"2166",3437,"[Sokka begins to look saddened.]"
"2167",3441,"[Bato smile and puts his hand on Sokka's shoulder with a new thought.]"
"2168",3443,"[Annoyed.]"
"2169",3448,"[As Iroh laughs from behind her.]"
"2170",3453,"[Shot changes to on the boat.]"
"2171",3455,"[Points to a group of tall, sharp, jagged rocks near the shore. Katara and Sokka appear nervous.]"
"2172",3455,"[Katara grabs a rope.]"
"2173",3456,"[Blinks. Defensively.]"
"2174",3456,"[Folds his arms.]"
"2175",3456,"[He crosses his arms and looks away, but gives Bato a second glance.]"
"2176",3457,"[Sits cross-legged at the front of the boat.]"
"2177",3458,"[Studies the rocky shores.]"
"2178",3458,"[Katara looks at the shore with concern.]"
"2179",3458,"[The ship moves to the side and sails between some rocks.]"
"2180",3465,"[Stands up and grabs the side of the boat.]"
"2181",3466,"[Aang nods.]"
"2182",3468,"[Dips his fingers in the paint.]"
"2183",3468,"[Uses his thumb to put an arc and small dot on Sokka's forehead.]"
"2184",3468,"[Uses his thumb to put a crescent moon mark on Katara's forehead.]"
"2185",3468,"[Using his thumb to put an arc on Aang's forehead.]"
"2186",3469,"[Looks down.]"
"2187",3471,"[Rubbing off his mark and backing away.]"
"2188",3472,"[Concerned.]"
"2189",3473,"[Takes the crumpled map out of his sleeve.]"
"2190",3473,"[Katara takes it from him.]"
"2191",3474,"[Angrily.]"
"2192",3474,"[Aang shrugs his shoulders.]"
"2193",3474,"[Walks away.]"
"2194",3476,"[Turns back.]"
"2195",3477,"[Turns to look at Aang and closes her eyes.]"
"2196",3485,"[Momo chitters.]"
"2197",3487,"[Whips Nyla, who runs out of the abbey and into the woods.]"
"2198",3489,"[To Sokka.]"
"2199",3491,"[Turns back to them.]"
"2200",3491,"[Shot of Sokka, who looks sadly at the camera.]"
"2201",3495,"[Smiles.]"
"2202",3496,"[Walks up to Katara and Sokka and puts his arms on their shoulders.]"
"2203",3498,"[Takes the map from out of his Water Tribe outfit.]"
"2204",3501,"[Runs on camera. Desperately.]"
"2205",3502,"[Annoyed.]"
"2206",3508,"[Gasps.]"
"2207",3510,"[To Zuko.]"
"2208",3510,"[Zuko jumps down.]"
"2209",3511,"[To Sokka and Katara.]"
"2210",3514,"[Grabs his sister.]"
"2211",3517,"[Nyla walks closer to Sokka and Katara.]"
"2212",3521,"[Looks up.]"
"2213",3522,"[June cracks her whip. Nyla stands up and June mounts him.]"
"2214",3524,"[Whips Nyla.]"
"2215",3526,"[Rubble from the roof falls on him.]"
"2216",3533,"[Nyla paralyzes Zuko as Iroh looks at Nyla in concern.]"
"2217",3533,"[Nyla tongue lashes out and hits June, who falls back into Iroh's arms.]"
"2218",3541,"[Turns to the group.]"
"2219",3546,"[Holds up Katara's necklace.]"
"2220",3546,"[Closer shot of the necklace.]"
"2221",3547,"[Takes the necklace.]"
"2222",3556,"[He turns to Katara; unsure.]"
"2223",3557,"[Close-up of Katara; disappointed.]"
"2224",3557,"[She looks down, saddened.]"
"2225",3558,"[Cut to a shot from behind Aang.]"
"2226",3560,"[He turns away.]"
"2227",3561,"[The camera cuts to a frontal of Aang.]"
"2228",3561,"[He looks down in guilt.]"
"2229",3562,"[Shot of Katara and Aang around the campfire.]"
"2230",3563,"[Sokka enters the shot and proceeds to lay down in front of the campfire; interrupting Katara.]"
"2231",3566,"[Walking toward a poster on the kiosk, present in the middle of a crossroad.]"
"2232",3567,"[Flips a small pouch to find it empty aside from a few crumbs.]"
"2233",3567,"[Wipes his mouth.]"
"2234",3568,"[Pointing at the poster.]"
"2235",3568,"[Momo jumps down. Aang begins reading-out the poster.]"
"2236",3568,"[Turns to Katara.]"
"2237",3569,"[Looking at another poster on the other side of the kiosk; seriously.]"
"2238",3570,"[Comes over to at the poster.]"
"2239",3571,"[Aang removes the poster from the wall and starts reading it.]"
"2240",3572,"[Stares at the wanted poster.]"
"2241",3573,"[Looking at Katara.]"
"2242",3574,"[Swayed by Aang; while her head is bowed.]"
"2243",3574,"[Aang begins rejoicing.]"
"2244",3575,"[Moves in front of Katara; in an opposing tone.]"
"2245",3575,"[Aang becomes serious again.]"
"2246",3576,"[Starts walking toward Appa and is followed by Aang.]"
"2247",3577,"[Not convinced; sarcastically.]"
"2248",3578,"[To Appa and Momo.]"
"2249",3578,"[To Katara and Sokka.]"
"2250",3580,"[Sarcastically at Aang's goofy disguise.]"
"2251",3580,"[Katara giggles.]"
"2252",3589,"[To the shop keeper.]"
"2253",3594,"[Sarcastically.]"
"2254",3597,"[As an Earth Kingdom general puppet pops up behind the Fire Lord's puppet, with a rock ready to attack.]"
"2255",3597,"[The puppet breaths fire, burning the other puppet.]"
"2256",3600,"[Sarcastically.]"
"2257",3603,"[Waving his hand up in the air all around childishly.]"
"2258",3604,"[In a stern tone while pulling his arm down.]"
"2259",3608,"[While backing away.]"
"2260",3610,"[In a jealous tone while folding his arms.]"
"2261",3611,"[While sitting her down in a chair and tying her to it.]"
"2262",3614,"[Aang saves Katara with his airbending, dispersing the flames is a ray of colors while he loses his mask in the process.]"
"2263",3616,"[Aang stops dancing and runs.]"
"2264",3618,"[The kids follow Chey.]"
"2265",3622,"[Aang blows his whistle.]"
"2266",3624,"[Making a sharp turn down one of the several alleys.]"
"2267",3624,"[Comes running back.]"
"2268",3629,"[Impressed.]"
"2269",3635,"[Not amused.]"
"2270",3637,"[Gets up in excitement.]"
"2271",3638,"[Snaps at Aang.]"
"2272",3639,"[Annoyed; Stands up to gesture.]"
"2273",3643,"[Very annoyed.]"
"2274",3647,"[Angry.]"
"2275",3650,"[Not amused with Chey.]"
"2276",3656,"[Pushes Chey forward.]"
"2277",3660,"[Anxiously.]"
"2278",3660,"[A huge piece of burning planks of wood falls in the background with a massive crash making the guards twitch.]"
"2279",3661,"[Irritated.]"
"2280",3666,"[Looking downcast.]"
"2281",3667,"[He stretches back out again.]"
"2282",3670,"[Shocked.]"
"2283",3677,"[To Jeong Jeong.]"
"2284",3677,"[Gets interrupted.]"
"2285",3686,"[He raises his hand and ignites the tree behind Jeong Jeong.]"
"2286",3688,"[Raises his hands happily; Jeong Jeong groans in dismay fearing this may not end well.]"
"2287",3690,"[Aang expresses his concentration.]"
"2288",3692,"[Turns around.]"
"2289",3692,"[Points at Sokka.]"
"2290",3693,"[Annoyed.]"
"2291",3706,"[Faces the opposite direction of Aang.]"
"2292",3707,"[Interrupted by Jeong Jeong.]"
"2293",3713,"[Wiggles fingers to the ceiling to gesture this.]"
"2294",3714,"[Sighs gruffly.]"
"2295",3714,"[While he was speaking, the camera cuts to Zhao on his boat; several men attack him, but he fends them off easily, leaving a fire in his wake. Cuts back to Jeong Jeong.]"
"2296",3719,"[Aang gets excited and airbends himself into the air. He quickly gets serious again.]"
"2297",3725,"[Annoyed.]"
"2298",3729,"[Excited.]"
"2299",3738,"[Concerned.]"
"2300",3738,"[Angrily.]"
"2301",3741,"[Katara runs away.]"
"2302",3741,"[As Jeong Jeong walks in.]"
"2303",3744,"[Sokka runs off.]"
"2304",3744,"[Jeong Jeong looks at Aang, displeased.]"
"2305",3752,"[The screen pans to Jeong Jeong. Suddenly, Zhao parts through the wall.]"
"2306",3753,"[The screen goes for a close of Jeong Jeong's face, and a wide shot as he drops the wall of fire. Cut to Katara running up to where Sokka is preparing Appa to leave.]"
"2307",3755,"[Sokka gestures to the cottage.]"
"2308",3761,"[Surprised.]"
"2309",3763,"[Gets on his feet.]"
"2310",3766,"[The screen switches to an overhead shot of the beach. Zhao and his men stand against Jeong Jeong, before cutting to a closer shot.]"
"2311",3771,"[Amused.]"
"2312",3776,"[Angry.]"
"2313",3776,"[Faces Aang.]"
"2314",3777,"[Shocked.]"
"2315",3780,"[Throws another intense fireball.]"
"2316",3782,"[Roars with rage.]"
"2317",3784,"[Gets an idea.]"
"2318",3786,"[Mockingly.]"
"2319",3787,"[Burns in anger at the remark.]"
"2320",3787,"[Shoots another fireball.]"
"2321",3789,"[Nearly gets blasted.]"
"2322",3789,"[Aang cups his hands over his to sound louder.]"
"2323",3789,"[Moons Zhao with pants up.]"
"2324",3789,"[Zhao gets even angrier and Aang nearly gets blasted again.]"
"2325",3789,"[Aang looks disappointed when he says this. His eyes go wide and he lies down on the deck fast enough to avoid being burnt. Mocking Zhao's firebending.]"
"2326",3791,"[Having dodged a series of blasts from Zhao on several ships.]"
"2327",3792,"[Enraged disbelief.]"
"2328",3793,"[He gestures around, all the boats are on fire and sinking.]"
"2329",3793,"[Jumps in the water.]"
"2330",3798,"[Walks into the now abandoned village; not amused.]"
"2331",3798,"[Sarcastically.]"
"2332",3799,"[Katara heals the burn on Aang's arm.]"
"2333",3803,"[Sarcastically.]"
"2334",3803,"[Angrily.]"
"2335",3804,"[Shocked.]"
"2336",3805,"[Amused.]"
"2337",3806,"[Still being sarcastic.]"
"2338",3809,"[Dramatically; out of view.]"
"2339",3810,"[Cuts to a wide shot, showing the gang and the other travelers surrounding a small campfire. The Storyteller, having finished his story, is going around collecting coins from the other travelers.]"
"2340",3810,"[Talking to Katara and Sokka, who are sitting next to him.]"
"2341",3811,"[Excitedly.]"
"2342",3813,"[Chuckling to himself.]"
"2343",3814,"[Arrives in front of the gang, having already collected money from the rest of the audience.]"
"2344",3814,"[Jingles the hat in front of Sokka, asking for money.]"
"2345",3817,"[Upset and somewhat downcast.]"
"2346",3817,"[Walks away as Sokka puts the bugs back in his pocket.]"
"2347",3819,"[Happily.]"
"2348",3820,"[Holds out his cap.]"
"2349",3822,"[He pets Momo on the head.]"
"2350",3823,"[Having given up trying to find a coin.]"
"2351",3824,"[Confused.]"
"2352",3824,"[He indicates to the old man he was kneeling in front of before. The old man makes a sound in his throat akin to a laugh, and waves a greeting to Aang. The shot cuts to Aang, who has a shocked and disbelieving expression.]"
"2353",3826,"[Sitting on Appa's neck, steering. He is talking to Katara and Sokka, who are riding in Appa's saddle.]"
"2354",3827,"[Moving to sit at the back of the saddle with her brother.]"
"2355",3828,"[He is whittling a piece of wood. The design is indecipherable.]"
"2356",3829,"[Crossing her arms, obviously angry with him.]"
"2357",3830,"[He shrugs, unconcerned with her mood.]"
"2358",3831,"[Excitedly.]"
"2359",3833,"[Amazed.]"
"2360",3834,"[His face falls as he sees the 'airbenders', and after Katara's excited outburst, he leans back and scowls while crossing his arms.]"
"2361",3835,"[Exuberantly.]"
"2362",3836,"[Bitterly. He is glaring at the direction of the people flying around the temple.]"
"2363",3838,"[Katara points to the boy.]"
"2364",3838,"[Katara indicates to the boy, who is flying dangerously close, but still laughing.]"
"2365",3840,"[The siblings land Appa on the temple courtyard, out of the hazardous sky. Aang is still flying with the boy, and seems to be having fun at the surprise competition.]"
"2366",3841,"[Several children are on the ground, cheering on their friend.]"
"2367",3843,"[The boy doesn't seem upset at Aang, and seems happy that he isn't angry for nearly flying into him.]"
"2368",3844,"[Nonchalantly, but with a smirk.]"
"2369",3846,"[He is looking amazed, before thinking of his own plan.]"
"2370",3849,"[Annoyed; his face mimics the one Teo has just drawn.]"
"2371",3852,"[Rubs his head, embarrassed.]"
"2372",3853,"[Sokka ignores all formalities, instead going over to Teo's chair and examining the strange shape and design.]"
"2373",3856,"[Runs up to machines.]"
"2374",3857,"[Shows women using an elevator like contraption.]"
"2375",3858,"[Monotonously.]"
"2376",3860,"[Walks away.]"
"2377",3861,"[Katara approaches Teo, who seems disappointed at Aang's reaction.]"
"2378",3867,"[Walks up and puts her hand on his shoulder.]"
"2379",3871,"[Off-screen.]"
"2380",3873,"[He has approached Aang and the group, looking more surprised than upset.]"
"2381",3874,"[He turns to the mechanist and yells angrily at him.]"
"2382",3875,"[Waves his hand in front of his face, as though trying to dissipate a bad smell.]"
"2383",3876,"[Points at the mechanist.]"
"2384",3876,"[Using his airbending, Aang flips the crane contraption off of the edge of the building.]"
"2385",3878,"[Walks closer to the mechanist.]"
"2386",3879,"[Scratches his beard.]"
"2387",3880,"[Teo rolls up.]"
"2388",3883,"[Turns away from Aang.]"
"2389",3883,"[Points finger up.]"
"2390",3883,"[Walks behind his son's wheelchair.]"
"2391",3883,"[Teo looks down sadly.]"
"2392",3883,"[Sniffles.]"
"2393",3883,"[Looks around.]"
"2394",3883,"[Does a airplane like gesture, like he's flying up to Aang.]"
"2395",3885,"[Waves his hands up and down.]"
"2396",3885,"[Katara wipes her tears on Aang's shirt, and Sokka looks like he's holding back tears.]"
"2397",3887,"[Points at candles.]"
"2398",3887,"[To other workers.]"
"2399",3889,"[Candle pops four times.]"
"2400",3891,"[Sokka laughs. Cut to a frontal shot of the mechanist, pleased that Sokka is interested.]"
"2401",3891,"[He holds up his left hand, revealing that three of the fingers are made of wood.]"
"2402",3891,"[He pulls off the three wooden fingers, and throws them into Sokka's hand.]"
"2403",3892,"[Horrified.]"
"2404",3893,"[Pokes Sokka in the back with his one remaining finger and gestures for him to come.]"
"2405",3893,"[Sokka runs after him.]"
"2406",3897,"[Picks up hermit crab from the ground.]"
"2407",3897,"[Hands it to Katara.]"
"2408",3898,"[Pokes hermit crab.]"
"2409",3898,"[Katara hands it to Aang. It moves around in his hand and he smiles.]"
"2410",3902,"[Confidently, with a matter-of-fact tone.]"
"2411",3903,"[She looks at him, as though slightly scared of his reaction. Her tone is gentle and questioning.]"
"2412",3904,"[He turns away from the door and his friends.]"
"2413",3905,"[Somewhat disappointed, although he tries not to let it show.]"
"2414",3906,"[All three start to walk away.]"
"2415",3908,"[Opens the top of his lantern only to find them filled with fireflies.]"
"2416",3908,"[One flies out.]"
"2417",3909,"[Sokka closes it.]"
"2418",3909,"[Both begin to walk again.]"
"2419",3911,"[Both plug their noses.]"
"2420",3911,"[The mechanist opens an eye slot in the door, both look inside a pitch-black room.]"
"2421",3912,"[Nasally, due to his nose being blocked.]"
"2422",3913,"[Closes eye slot.]"
"2423",3913,"[Pans up to his eyebrows.]"
"2424",3917,"[Shows Katara holding a glider and standing at the edge of a building.]"
"2425",3917,"[Katara puts down her glider and looks up at the other people flying.]"
"2426",3918,"[Nervously.]"
"2427",3919,"[Laughs.]"
"2428",3923,"[Thoughtfully.]"
"2429",3926,"[Jumps off anyway.]"
"2430",3926,"[Starts to fall down wards, but eventually starts to fly straight. Her scream peters off as she begins laughing.]"
"2431",3928,"[Shows Momo flying by and eating a bug.]"
"2432",3930,"[Aang lands beside him on the building.]"
"2433",3932,"[Katara flies by.]"
"2434",3934,"[Comes over to help Sokka pick things up.]"
"2435",3934,"[Referring to the hot air balloon.]"
"2436",3935,"[He sniffs the air before wincing.]"
"2437",3936,"[Both crawl around the floor looking for it.]"
"2438",3943,"[Both turn toward each other.]"
"2439",3949,"[Bell rings on one of his desks.]"
"2440",3950,"[Stands up.]"
"2441",3950,"[Runs out the door and Sokka follows.]"
"2442",3953,"[Walks in with Sokka behind him.]"
"2443",3954,"[Accusingly.]"
"2444",3955,"[Angrily.]"
"2445",3957,"[He is hesitant, but resigned as he begins to explain.]"
"2446",3960,"[Candle pops once.]"
"2447",3962,"[The model of the hot air balloon catches fire and crashes. The mechanist puts the fire out with a cloth.]"
"2448",3964,"[Bell rings on his desk.]"
"2449",3966,"[They hide behind some of his inventions. the mechanist pulls a rope that opens a trapdoor, and a war minister from the Fire Nation is lifted into the room.]"
"2450",3967,"[The mechanist looks down.]"
"2451",3968,"[Hurredly.]"
"2452",3968,"[Gestures toward the door.]"
"2453",3974,"[Slaps him in the face with an air swipe; continues off screen.]"
"2454",3975,"[Pointing at Aang.]"
"2455",3975,"[He leaves through the trap door and Aang airbends it shut.]"
"2456",3980,"[Points to the sky.]"
"2457",3981,"[He appears at the door.]"
"2458",3986,"[Katara and Aang exchange unamused glances.]"
"2459",3987,"[Places the candle in the model.]"
"2460",3987,"[He pulls a string connected to the model, putting it on the table.]"
"2461",3988,"[Teo, Katara, and Aang laugh.]"
"2462",3991,"[He begins listing them off on his fingers.]"
"2463",3994,"[Looking over a ledge.]"
"2464",3996,"[Worriedly.]"
"2465",3997,"[Jumping off Appa.]"
"2466",4004,"[Thoughtfully, trying to remember what he knew.]"
"2467",4009,"[Side-view of Katara.]"
"2468",4012,"[Close-up of Fire Nation insignia.]"
"2469",4013,"[Close-up of Sokka on war balloon.]"
"2470",4013,"[Slices rope attached to a large bomb.]"
"2471",4014,"[Cut to view of both balloon and advancing army.]"
"2472",4016,"[Cut to tanks beginning to scale the cliffs.]"
"2473",4017,"[Cut back to Sokka and the mechanist.]"
"2474",4018,"[Cut to a view of the balloon and a large crevice in the ground below.]"
"2475",4023,"[Cheers from crowd.]"
"2476",4024,"[War balloon flies past.]"
"2477",4025,"[Cut to Aang and Katara on balcony.]"
"2478",4025,"[Aang jumps on his glider and flies toward them.]"
"2479",4027,"[Cut to close-up of Sokka swinging his boomerang around with a rope attached, the mechanist behind him.]"
"2480",4029,"[Cut to close-up panning shot of Sokka, Katara, Aang, Teo, and the mechanist.]"
"2481",4029,"[Cut to shot above Aang picking up a hermit crab.]"
"2482",4029,"[Cut to close-up of Aang's hands surrounding the hermit crab.]"
"2483",4031,"[Cut to Aang, Sokka and Katara.]"
"2484",4031,"[Cut to wide-view of temple grounds, crowd cheering.]"
"2485",4033,"[Cut to Qin, surrounded by two other ministers.]"
"2486",4037,"[Hanging lazily over the back of Appa's saddle; grumpily.]"
"2487",4037,"[Side-view shows Appa flying just above the water.]"
"2488",4039,"[Irritably.]"
"2489",4039,"[Points angrily at Sokka; Katara briefly looks at Aang, but resumes her stare in front of her.]"
"2490",4040,"[Back-view of Sokka looking over his shoulder; sarcastically.]"
"2491",4040,"[Points to his back.]"
"2492",4040,"[Shakes his rear.]"
"2493",4042,"[Waving her hands up and down while shifting looks between Aang and Sokka.]"
"2494",4043,"[Frontal shot, Momo is now on his lap; annoyed.]"
"2495",4043,"[Cut to a wide side-shot, revealing Appa floating along a vast ocean of only water and ice.]"
"2496",4045,"[Happily.]"
"2497",4048,"[Impatiently.]"
"2498",4051,"[Pointing excitedly.]"
"2499",4052,"[In awe.]"
"2500",4053,"[Surprised.]"
"2501",4055,"[Fascinated.]"
"2502",4056,"[To Katara.]"
"2503",4061,"[Singing.]"
"2504",4063,"[Crowd applauds and cheers.]"
"2505",4068,"[Smiling and bowing slightly.]"
"2506",4068,"[They nervously share an awkward silence for a moment.]"
"2507",4069,"[Nervously.]"
"2508",4069,"[She nods and smiles.]"
"2509",4069,"[Shot pans left to reveal Katara.]"
"2510",4070,"[Hopping in on the conversation; teasingly.]"
"2511",4072,"[Sarcastically.]"
"2512",4074,"[Slightly confused; laughs.]"
"2513",4078,"[Aang bows.]"
"2514",4087,"[Cut to a shocked Zuko.]"
"2515",4087,"[Turns around to face Zhao.]"
"2516",4090,"[Putting his arm over his face in woe.]"
"2517",4092,"[Cuts to a furious Zuko. Zuko charges at Zhao in anger, but Iroh cuts him off.]"
"2518",4098,"[He hands the broad sword to Iroh.]"
"2519",4098,"[Zhao moves to exit the cabin.]"
"2520",4100,"[Excitedly.]"
"2521",4103,"[Drops the water, and speaks in an annoyed tone.]"
"2522",4107,"[Angrily.]"
"2523",4113,"[Furious.]"
"2524",4114,"[Also just as angry.]"
"2525",4118,"[Goes to Aang.]"
"2526",4120,"[Aang gets hit with a water blast from him.]"
"2527",4124,"[They both blush.]"
"2528",4127,"[Laughs.]"
"2529",4127,"[Points at a bridge.]"
"2530",4128,"[Falls into the water.]"
"2531",4129,"[Laughs.]"
"2532",4130,"[Climbs out of the water.]"
"2533",4140,"[Looks at all the young girls, and speaks in a disappointed tone.]"
"2534",4145,"[Slurps some tea.]"
"2535",4151,"[Shocked.]"
"2536",4153,"[Confused.]"
"2537",4162,"[Cut to a shot of Prince Zuko lying in bed in the foreground of his cabin. The door opens and Iroh sticks his head in. Entering.]"
"2538",4163,"[Bitterly.]"
